pickup_datetime,dropoff_datetime,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,trip_distance_km,trip_duration_sec,fare_amount,tip_amount,passenger_count,payment_type,avg_speed_kmh,fare_per_km,pickup_hour,weekday,is_weekend,haversine_km
2016-03-14 17:24:55,2016-03-14 17:32:30,40.767936706542969,-73.982154846191406,40.765602111816406,-73.964630126953125,1.498521,455,,,1,,11.856428,,17,0,0,1.498521
2016-06-12 00:43:35,2016-06-12 00:54:38,40.738563537597656,-73.980415344238281,40.731151580810547,-73.999481201171875,1.805507,663,,,1,,9.803659,,0,6,1,1.805507
2016-01-19 11:35:24,2016-01-19 12:10:48,40.763938903808594,-73.979026794433594,40.710086822509766,-74.005332946777344,6.385098,2124,,,1,,10.822201,,11,1,0,6.385098
2016-04-06 19:32:31,2016-04-06 19:39:40,40.719970703125,-74.010040283203125,40.706718444824219,-74.01226806640625,1.485498,429,,,1,,12.465721,,19,2,0,1.485498
2016-03-26 13:30:55,2016-03-26 13:38:10,40.793209075927734,-73.973052978515625,40.782520294189453,-73.972923278808594,1.188588,435,,,1,,9.836594,,13,5,1,1.188588
2016-01-30 22:01:40,2016-01-30 22:09:03,40.742195129394531,-73.982856750488281,40.749183654785156,-73.992080688476562,1.098942,443,,,6,,8.930458,,22,5,1,1.098942
2016-06-17 22:34:59,2016-06-17 22:40:40,40.757839202880859,-73.969017028808594,40.765895843505859,-73.957405090332031,1.326279,341,,,4,,14.001768,,22,4,0,1.326279
2016-05-21 07:54:58,2016-05-21 08:20:49,40.797779083251953,-73.969276428222656,40.76055908203125,-73.922470092773438,5.714981,1551,,,1,,13.264945,,7,5,1,5.714981
2016-05-27 23:12:23,2016-05-27 23:16:38,40.738399505615234,-73.999481201171875,40.732814788818359,-73.985786437988281,1.310353,255,,,1,,18.499105,,23,4,0,1.310353
2016-03-10 21:45:01,2016-03-10 22:05:26,40.744338989257813,-73.981048583984375,40.789989471435547,-73.972999572753906,5.121162,1225,,,1,,15.049944,,21,3,0,5.121162
2016-05-10 22:08:41,2016-05-10 22:29:55,40.763839721679688,-73.982650756835938,40.732990264892578,-74.002227783203125,3.806139,1274,,,1,,10.755182,,22,1,0,3.806139
2016-05-15 11:16:11,2016-05-15 11:34:59,40.749439239501953,-73.991531372070313,40.7706298828125,-73.95654296875,3.773096,1128,,,4,,12.041796,,11,6,1,3.773096
2016-02-19 09:52:46,2016-02-19 10:11:20,40.756679534912109,-73.962982177734375,40.760719299316406,-73.984405517578125,1.859483,1114,,,2,,6.009101,,9,4,0,1.859483
2016-06-01 20:58:29,2016-06-01 21:02:49,40.767940521240234,-73.956306457519531,40.76300048828125,-73.966110229492188,0.991685,260,,,1,,13.731021,,20,2,0,0.991685
2016-05-27 00:43:36,2016-05-27 01:07:10,40.727226257324219,-73.992195129394531,40.783069610595703,-73.974655151367188,6.382836,1414,,,1,,16.250501,,0,4,0,6.382836
2016-05-16 15:29:02,2016-05-16 15:32:33,40.768592834472656,-73.955513000488281,40.77154541015625,-73.948760986328125,0.656578,211,,,1,,11.202279,,15,0,0,0.656578
2016-04-11 17:29:50,2016-04-11 18:08:26,40.755561828613281,-73.991165161132813,40.725353240966797,-73.999290466308594,3.428086,2316,,,1,,5.328631,,17,0,0,3.428086
2016-04-14 08:48:26,2016-04-14 09:00:37,40.745803833007813,-73.994255065917969,40.723342895507813,-73.999656677246094,2.538672,731,,,1,,12.502351,,8,3,0,2.538672
2016-06-27 09:55:13,2016-06-27 10:17:10,40.7130126953125,-74.003982543945313,40.749923706054688,-73.979194641113281,4.605201,1317,,,1,,12.588249,,9,0,0,4.605201
