line,reason,pickup_ts,dropoff_ts,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance,fare
1,bad_distance,,,,,,,,
2,bad_distance,,,,,,,,
3,bad_distance,,,,,,,,
4,bad_distance,,,,,,,,
5,bad_distance,,,,,,,,
6,bad_distance,,,,,,,,
7,bad_distance,,,,,,,,
8,bad_distance,,,,,,,,
9,bad_distance,,,,,,,,
10,bad_distance,,,,,,,,
11,bad_distance,,,,,,,,
12,bad_distance,,,,,,,,
13,bad_distance,,,,,,,,
14,bad_distance,,,,,,,,
15,bad_distance,,,,,,,,
16,bad_distance,,,,,,,,
17,bad_distance,,,,,,,,
18,bad_distance,,,,,,,,
19,bad_distance,,,,,,,,
20,bad_distance,,,,,,,,
21,bad_distance,,,,,,,,
22,bad_distance,,,,,,,,
23,bad_distance,,,,,,,,
24,bad_distance,,,,,,,,
25,bad_distance,,,,,,,,
26,bad_distance,,,,,,,,
27,bad_distance,,,,,,,,
28,bad_distance,,,,,,,,
29,bad_distance,,,,,,,,
30,bad_distance,,,,,,,,
31,bad_distance,,,,,,,,
32,bad_distance,,,,,,,,
33,bad_distance,,,,,,,,
34,bad_distance,,,,,,,,
35,bad_distance,,,,,,,,
36,bad_distance,,,,,,,,
37,bad_distance,,,,,,,,
38,bad_distance,,,,,,,,
39,bad_distance,,,,,,,,
40,bad_distance,,,,,,,,
41,bad_distance,,,,,,,,
42,bad_distance,,,,,,,,
43,bad_distance,,,,,,,,
44,bad_distance,,,,,,,,
45,bad_distance,,,,,,,,
46,bad_distance,,,,,,,,
47,bad_distance,,,,,,,,
48,bad_distance,,,,,,,,
49,bad_distance,,,,,,,,
50,bad_distance,,,,,,,,
51,bad_distance,,,,,,,,
52,bad_distance,,,,,,,,
53,bad_distance,,,,,,,,
54,bad_distance,,,,,,,,
55,bad_distance,,,,,,,,
56,bad_distance,,,,,,,,
57,bad_distance,,,,,,,,
58,bad_distance,,,,,,,,
59,bad_distance,,,,,,,,
60,bad_distance,,,,,,,,
61,bad_distance,,,,,,,,
62,bad_distance,,,,,,,,
63,bad_distance,,,,,,,,
64,bad_distance,,,,,,,,
65,bad_distance,,,,,,,,
66,bad_distance,,,,,,,,
67,bad_distance,,,,,,,,
68,bad_distance,,,,,,,,
69,bad_distance,,,,,,,,
70,bad_distance,,,,,,,,
71,bad_distance,,,,,,,,
72,bad_distance,,,,,,,,
73,bad_distance,,,,,,,,
74,bad_distance,,,,,,,,
75,bad_distance,,,,,,,,
76,bad_distance,,,,,,,,
77,bad_distance,,,,,,,,
78,bad_distance,,,,,,,,
79,bad_distance,,,,,,,,
80,bad_distance,,,,,,,,
81,bad_distance,,,,,,,,
82,bad_distance,,,,,,,,
83,bad_distance,,,,,,,,
84,bad_distance,,,,,,,,
85,bad_distance,,,,,,,,
86,bad_distance,,,,,,,,
87,bad_distance,,,,,,,,
88,bad_distance,,,,,,,,
89,bad_distance,,,,,,,,
90,bad_distance,,,,,,,,
91,bad_distance,,,,,,,,
92,bad_distance,,,,,,,,
93,bad_distance,,,,,,,,
94,bad_distance,,,,,,,,
95,bad_distance,,,,,,,,
96,bad_distance,,,,,,,,
97,bad_distance,,,,,,,,
98,bad_distance,,,,,,,,
99,bad_distance,,,,,,,,
100,bad_distance,,,,,,,,
101,bad_distance,,,,,,,,
102,bad_distance,,,,,,,,
103,bad_distance,,,,,,,,
104,bad_distance,,,,,,,,
105,bad_distance,,,,,,,,
106,bad_distance,,,,,,,,
107,bad_distance,,,,,,,,
108,bad_distance,,,,,,,,
109,bad_distance,,,,,,,,
110,bad_distance,,,,,,,,
111,bad_distance,,,,,,,,
112,bad_distance,,,,,,,,
113,bad_distance,,,,,,,,
114,bad_distance,,,,,,,,
115,bad_distance,,,,,,,,
116,bad_coordinates,,,40.773738861083984,-73.87081909179688,41.0178108215332,-73.85749816894531,,
117,bad_distance,,,,,,,,
118,bad_distance,,,,,,,,
119,bad_distance,,,,,,,,
120,bad_distance,,,,,,,,
121,bad_distance,,,,,,,,
122,bad_distance,,,,,,,,
123,bad_distance,,,,,,,,
124,bad_distance,,,,,,,,
125,bad_distance,,,,,,,,
126,bad_distance,,,,,,,,
127,bad_distance,,,,,,,,
128,bad_distance,,,,,,,,
129,bad_distance,,,,,,,,
130,bad_distance,,,,,,,,
131,bad_distance,,,,,,,,
132,bad_distance,,,,,,,,
133,bad_distance,,,,,,,,
134,bad_distance,,,,,,,,
135,bad_distance,,,,,,,,
136,bad_distance,,,,,,,,
137,bad_distance,,,,,,,,
138,bad_distance,,,,,,,,
139,bad_distance,,,,,,,,
140,bad_distance,,,,,,,,
141,bad_distance,,,,,,,,
142,bad_distance,,,,,,,,
143,bad_distance,,,,,,,,
144,bad_distance,,,,,,,,
145,bad_distance,,,,,,,,
146,bad_distance,,,,,,,,
147,bad_distance,,,,,,,,
148,bad_distance,,,,,,,,
149,bad_distance,,,,,,,,
150,bad_distance,,,,,,,,
151,bad_distance,,,,,,,,
152,bad_distance,,,,,,,,
153,bad_distance,,,,,,,,
154,bad_distance,,,,,,,,
155,bad_distance,,,,,,,,
156,bad_distance,,,,,,,,
157,bad_distance,,,,,,,,
158,bad_distance,,,,,,,,
159,bad_distance,,,,,,,,
160,bad_distance,,,,,,,,
161,bad_distance,,,,,,,,
162,bad_distance,,,,,,,,
163,bad_distance,,,,,,,,
164,bad_distance,,,,,,,,
165,bad_distance,,,,,,,,
166,bad_distance,,,,,,,,
167,bad_distance,,,,,,,,
168,bad_distance,,,,,,,,
169,bad_distance,,,,,,,,
170,bad_distance,,,,,,,,
171,bad_distance,,,,,,,,
172,bad_distance,,,,,,,,
173,bad_distance,,,,,,,,
174,bad_distance,,,,,,,,
175,bad_distance,,,,,,,,
176,bad_distance,,,,,,,,
177,bad_distance,,,,,,,,
178,bad_distance,,,,,,,,
179,bad_distance,,,,,,,,
180,bad_distance,,,,,,,,
181,bad_distance,,,,,,,,
182,bad_distance,,,,,,,,
183,bad_distance,,,,,,,,
184,bad_distance,,,,,,,,
185,bad_distance,,,,,,,,
186,bad_distance,,,,,,,,
187,bad_distance,,,,,,,,
188,bad_distance,,,,,,,,
189,bad_distance,,,,,,,,
190,bad_distance,,,,,,,,
191,bad_distance,,,,,,,,
192,bad_distance,,,,,,,,
193,bad_distance,,,,,,,,
194,bad_distance,,,,,,,,
195,bad_distance,,,,,,,,
196,bad_distance,,,,,,,,
197,bad_distance,,,,,,,,
198,bad_distance,,,,,,,,
199,bad_distance,,,,,,,,
200,bad_distance,,,,,,,,
201,bad_distance,,,,,,,,
202,bad_distance,,,,,,,,
203,bad_distance,,,,,,,,
204,bad_distance,,,,,,,,
205,bad_distance,,,,,,,,
206,bad_distance,,,,,,,,
