pickup_datetime,dropoff_datetime,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,trip_distance_km,trip_duration_sec,fare_amount,tip_amount,passenger_count,payment_type,avg_speed_kmh,fare_per_km,pickup_hour,weekday,is_weekend,haversine_km
2016-03-14 17:24:55,2016-03-14 17:32:30,40.767937,-73.982155,40.765602,-73.96463,1.498521,455,,0.0,1,,11.856,,17,0,0,1.499
2016-06-12 00:43:35,2016-06-12 00:54:38,40.738564,-73.980415,40.731152,-73.999481,1.805507,663,,0.0,1,,9.804,,0,6,1,1.806
2016-01-19 11:35:24,2016-01-19 12:10:48,40.763939,-73.979027,40.710087,-74.005333,6.385098,2124,,0.0,1,,10.822,,11,1,0,6.385
2016-04-06 19:32:31,2016-04-06 19:39:40,40.719971,-74.01004,40.706718,-74.012268,1.485498,429,,0.0,1,,12.466,,19,2,0,1.485
2016-03-26 13:30:55,2016-03-26 13:38:10,40.793209,-73.973053,40.78252,-73.972923,1.188588,435,,0.0,1,,9.837,,13,5,1,1.189
2016-01-30 22:01:40,2016-01-30 22:09:03,40.742195,-73.982857,40.749184,-73.992081,1.098942,443,,0.0,6,,8.93,,22,5,1,1.099
2016-06-17 22:34:59,2016-06-17 22:40:40,40.757839,-73.969017,40.765896,-73.957405,1.326279,341,,0.0,4,,14.002,,22,4,0,1.326
2016-05-21 07:54:58,2016-05-21 08:20:49,40.797779,-73.969276,40.760559,-73.92247,5.714981,1551,,0.0,1,,13.265,,7,5,1,5.715
2016-05-27 23:12:23,2016-05-27 23:16:38,40.7384,-73.999481,40.732815,-73.985786,1.310353,255,,0.0,1,,18.499,,23,4,0,1.31
2016-03-10 21:45:01,2016-03-10 22:05:26,40.744339,-73.981049,40.789989,-73.973,5.121162,1225,,0.0,1,,15.05,,21,3,0,5.121
2016-05-10 22:08:41,2016-05-10 22:29:55,40.76384,-73.982651,40.73299,-74.002228,3.806139,1274,,0.0,1,,10.755,,22,1,0,3.806
2016-05-15 11:16:11,2016-05-15 11:34:59,40.749439,-73.991531,40.77063,-73.956543,3.773096,1128,,0.0,4,,12.042,,11,6,1,3.773
2016-02-19 09:52:46,2016-02-19 10:11:20,40.75668,-73.962982,40.760719,-73.984406,1.859483,1114,,0.0,2,,6.009,,9,4,0,1.859
2016-06-01 20:58:29,2016-06-01 21:02:49,40.767941,-73.956306,40.763,-73.96611,0.991685,260,,0.0,1,,13.731,,20,2,0,0.992
2016-05-27 00:43:36,2016-05-27 01:07:10,40.727226,-73.992195,40.78307,-73.974655,6.382836,1414,,0.0,1,,16.251,,0,4,0,6.383
2016-05-16 15:29:02,2016-05-16 15:32:33,40.768593,-73.955513,40.771545,-73.948761,0.656578,211,,0.0,1,,11.202,,15,0,0,0.657
2016-04-11 17:29:50,2016-04-11 18:08:26,40.755562,-73.991165,40.725353,-73.99929,3.428086,2316,,0.0,1,,5.329,,17,0,0,3.428
2016-04-14 08:48:26,2016-04-14 09:00:37,40.745804,-73.994255,40.723343,-73.999657,2.538672,731,,0.0,1,,12.502,,8,3,0,2.539
2016-06-27 09:55:13,2016-06-27 10:17:10,40.713013,-74.003983,40.749924,-73.979195,4.605201,1317,,0.0,1,,12.588,,9,0,0,4.605
2016-06-05 13:47:23,2016-06-05 13:51:34,40.738197,-73.983887,40.727871,-73.991203,1.303271,251,,0.0,1,,18.692,,13,6,1,1.303
2016-02-28 02:23:02,2016-02-28 02:31:08,40.74242,-73.98037,40.760635,-73.962852,2.505926,486,,0.0,1,,18.562,,2,6,1,2.506
2016-04-01 12:12:25,2016-04-01 12:23:17,40.753361,-73.979538,40.763458,-73.963997,1.72455,652,,0.0,1,,9.522,,12,4,0,1.725
2016-04-09 03:34:27,2016-04-09 03:41:30,40.758812,-73.995865,40.740322,-73.993324,2.067085,423,,0.0,1,,17.592,,3,5,1,2.067
